user_id,user_name,state
U877257,Ava Turner,active
U819537,Anthony Watson,active
U934579,Madison Thomas,active
U833377,William Phillips,active
U266829,Michael Parker,active
U358693,Emma Green,active
U472423,Jayden Murphy,active
U213037,Alexander Reed,active
U522793,Madison Jackson,active
U266217,Sophia Thompson,deleted
U977454,William Roberts,active
U531649,Noah Thomas,deleted
U153712,Sophia Morgan,active
U938803,Sophia Cook,active
U387250,Olivia Price,active
U872282,Daniel Bennett,active
U346561,Chloe Wood,active
U288161,Aiden Allen,deleted
U700516,Madison Moore,active
U176749,Noah Hern,active
U180698,Sophia Thompson,active
U511908,Mia Hill,active
U806445,Aiden Richardson,active
U443006,Ava Watson,active
U297015,Abigail Hughes,active
U652606,Sophia Williams,active
U292615,Noah Nelson,active
U556850,Aiden Morris,active
U476616,Emma Stewart,active
U401211,Isabella Gray,active
U812256,Chloe Turner,active
U189100,Sophia Watson,active
U139455,William Gray,active
U144991,Chloe Rogers,deleted
U979173,William Allen,active
U192467,Alexander Stewart,active
U507687,Sophia Cox,active
U700672,Emily Miller,active
U824115,Michael Cox,active
U295426,Isabella Watson,deleted
U215381,Emma King,active
U966556,Daniel Phillips,active
U917218,Alexander Cruz,active
U617555,Alexander Bell,active
