user_id,user_name,state
U254529,Daniel Hughes,deleted
U652606,Sophia Williams,active
U157612,Chloe Flores,active
U938803,Sophia Cook,deleted
U144991,Chloe Rogers,deleted
U556850,Aiden Morris,deleted
U533030,William Baker,active
U837978,Abigail Harris,deleted
U872282,Daniel Bennett,active
U288161,Aiden Allen,deleted
U295426,Isabella Watson,deleted
U346561,Chloe Wood,active
U617555,Alexander Bell,active
U934579,Madison Thomas,active
U292615,Noah Nelson,active
U833377,William Phillips,deleted
U966556,Daniel Phillips,active
U472423,Jayden Murphy,active
U215381,Emma King,active
U891624,Mia Mitchell,active
U443006,Ava Watson,active
U806445,Aiden Richardson,active
U358693,Emma Green,active
U297015,Abigail Hughes,active
U957176,Ethan Morris,active
U963617,Noah Adams,active
U917218,Alexander Cruz,active
U266829,Michael Parker,active
U266217,Sophia Thompson,deleted
U153712,Sophia Morgan,active
U180698,Sophia Thompson,active
U531649,Noah Thomas,active
U812256,Chloe Turner,active
U507687,Sophia Cox,active
U819537,Anthony Watson,active
U979173,William Allen,active
U948417,Ethan Hughes,active
U119052,Chloe Barnes,deleted
U877257,Ava Turner,active
U176749,Noah Hern,active
U522793,Madison Jackson,active
U213037,Alexander Reed,active
U824115,Michael Cox,active
U511908,Mia Hill,active
U700516,Madison Moore,active
U700672,Emily Miller,active
U476616,Emma Stewart,deleted
U977454,William Roberts,active
U401211,Isabella Gray,active
U192467,Alexander Stewart,active
U139455,William Gray,active
U189100,Sophia Watson,active
U387250,Olivia Price,active
