user_id,user_name,state
U700672,Emily Miller,active
U966556,Daniel Phillips,active
U812256,Chloe Turner,active
U938803,Sophia Cook,active
U295426,Isabella Watson,deleted
U531649,Noah Thomas,deleted
U511908,Mia Hill,active
U153712,Sophia Morgan,active
U652606,Sophia Williams,active
U522793,Madison Jackson,active
U872282,Daniel Bennett,active
U977454,William Roberts,active
U533030,William Baker,active
U617555,Alexander Bell,active
U266217,Sophia Thompson,deleted
U180698,Sophia Thompson,active
U833377,William Phillips,active
U215381,Emma King,active
U189100,Sophia Watson,active
U297015,Abigail Hughes,active
U837978,Abigail Harris,deleted
U288161,Aiden Allen,deleted
U346561,Chloe Wood,active
U934579,Madison Thomas,active
U176749,Noah Hern,active
U556850,Aiden Morris,active
U700516,Madison Moore,active
U979173,William Allen,active
U401211,Isabella Gray,active
U266829,Michael Parker,active
U819537,Anthony Watson,active
U806445,Aiden Richardson,active
U213037,Alexander Reed,active
U144991,Chloe Rogers,deleted
U358693,Emma Green,active
U387250,Olivia Price,active
U824115,Michael Cox,active
U139455,William Gray,active
U292615,Noah Nelson,active
U472423,Jayden Murphy,active
U507687,Sophia Cox,active
U948417,Ethan Hughes,active
U877257,Ava Turner,active
U476616,Emma Stewart,active
U192467,Alexander Stewart,active
U917218,Alexander Cruz,active
U443006,Ava Watson,active
