user_id,user_name,state
U824115,Michael Cox,active
U812256,Chloe Turner,active
U917218,Alexander Cruz,active
U977454,William Roberts,active
U292615,Noah Nelson,active
U401211,Isabella Gray,active
U531649,Noah Thomas,deleted
U297015,Abigail Hughes,active
U966556,Daniel Phillips,active
U346561,Chloe Wood,active
U700516,Madison Moore,active
U556850,Aiden Morris,active
U652606,Sophia Williams,active
U153712,Sophia Morgan,active
U266829,Michael Parker,active
U192467,Alexander Stewart,active
U511908,Mia Hill,deleted
U476616,Emma Stewart,active
U938803,Sophia Cook,active
U443006,Ava Watson,active
U806445,Aiden Richardson,active
U215381,Emma King,active
U139455,William Gray,active
U507687,Sophia Cox,active
U189100,Sophia Watson,active
U387250,Olivia Price,active
U213037,Alexander Reed,active
U700672,Emily Miller,active
U617555,Alexander Bell,active
U872282,Daniel Bennett,active
U180698,Sophia Thompson,active
U144991,Chloe Rogers,deleted
U979173,William Allen,active
