user_id,user_name,state
U153712,Sophia Morgan,active
U292615,Noah Nelson,active
U652606,Sophia Williams,active
U700672,Emily Miller,active
U872282,Daniel Bennett,active
U192467,Alexander Stewart,active
U295426,Isabella Watson,deleted
U288161,Aiden Allen,deleted
U531649,Noah Thomas,deleted
U833377,William Phillips,active
U617555,Alexander Bell,active
U934579,Madison Thomas,active
U139455,William Gray,active
U215381,Emma King,active
U556850,Aiden Morris,deleted
U979173,William Allen,active
U806445,Aiden Richardson,active
U472423,Jayden Murphy,active
U213037,Alexander Reed,active
U522793,Madison Jackson,active
U700516,Madison Moore,active
U266829,Michael Parker,active
U819537,Anthony Watson,active
U824115,Michael Cox,deleted
U297015,Abigail Hughes,active
U837978,Abigail Harris,deleted
U401211,Isabella Gray,active
U346561,Chloe Wood,active
U507687,Sophia Cox,active
U977454,William Roberts,active
U917218,Alexander Cruz,active
U443006,Ava Watson,active
U966556,Daniel Phillips,active
U511908,Mia Hill,active
U176749,Noah Hern,active
U957176,Ethan Morris,active
U358693,Emma Green,active
U812256,Chloe Turner,active
U189100,Sophia Watson,active
U144991,Chloe Rogers,deleted
U157612,Chloe Flores,active
U891624,Mia Mitchell,active
U180698,Sophia Thompson,active
U387250,Olivia Price,active
U877257,Ava Turner,active
U266217,Sophia Thompson,deleted
U476616,Emma Stewart,active
U948417,Ethan Hughes,active
U533030,William Baker,active
U938803,Sophia Cook,deleted
