user_id,user_name,state
U476616,Emma Stewart,active
U297015,Abigail Hughes,active
U346561,Chloe Wood,active
U977454,William Roberts,active
U872282,Daniel Bennett,active
U700672,Emily Miller,active
U700516,Madison Moore,active
U144991,Chloe Rogers,active
U824115,Michael Cox,active
U511908,Mia Hill,active
U917218,Alexander Cruz,active
U180698,Sophia Thompson,active
U507687,Sophia Cox,active
U266829,Michael Parker,active
U652606,Sophia Williams,active
U979173,William Allen,active
U387250,Olivia Price,active
U556850,Aiden Morris,active
U806445,Aiden Richardson,active
U401211,Isabella Gray,active
U966556,Daniel Phillips,active
U139455,William Gray,active
U215381,Emma King,active
U531649,Noah Thomas,deleted
U292615,Noah Nelson,active
U812256,Chloe Turner,active
U443006,Ava Watson,active
U189100,Sophia Watson,active
U213037,Alexander Reed,active
U192467,Alexander Stewart,active
