user_id,user_name,state
U966556,Daniel Phillips,active
U531649,Noah Thomas,active
U213037,Alexander Reed,active
U700672,Emily Miller,active
U266829,Daniel Kelly,active
U977454,William Roberts,active
U872282,Daniel Bennett,active
U700516,Madison Moore,deleted
U824115,Michael Cox,active
U979173,William Allen,active
U346561,Chloe Wood,active
U401211,Isabella Gray,active
U806445,Aiden Richardson,active
U511908,Mia Hill,active
U476616,Emma Stewart,active
U917218,Alexander Cruz,active
U387250,Olivia Price,active
U443006,Ava Watson,active
U507687,Sophia Cox,active
U192467,Alexander Stewart,active
U652606,Sophia Williams,active
U297015,Abigail Hughes,active
U292615,Noah Nelson,active
U812256,Chloe Turner,active
U139455,William Gray,active
U180698,Sophia Thompson,active
U144991,Chloe Rogers,active
