user_id,user_name,state
U507687,Sophia Cox,active
U531649,Noah Thomas,deleted
U176749,Noah Hern,active
U346561,Chloe Wood,active
U266829,Michael Parker,active
U288161,Aiden Allen,deleted
U511908,Mia Hill,active
U700516,Madison Moore,active
U917218,Alexander Cruz,active
U266217,Sophia Thompson,deleted
U819537,Anthony Watson,active
U144991,Chloe Rogers,deleted
U472423,Jayden Murphy,active
U213037,Alexander Reed,active
U872282,Daniel Bennett,active
U443006,Ava Watson,active
U966556,Daniel Phillips,active
U938803,Sophia Cook,active
U387250,Olivia Price,active
U824115,Michael Cox,active
U180698,Sophia Thompson,active
U977454,William Roberts,active
U877257,Ava Turner,active
U652606,Sophia Williams,active
U476616,Emma Stewart,active
U189100,Sophia Watson,active
U617555,Alexander Bell,active
U292615,Noah Nelson,active
U192467,Alexander Stewart,active
U153712,Sophia Morgan,active
U401211,Isabella Gray,active
U297015,Abigail Hughes,active
U806445,Aiden Richardson,active
U556850,Aiden Morris,active
U812256,Chloe Turner,active
U979173,William Allen,active
U215381,Emma King,active
U139455,William Gray,active
U700672,Emily Miller,active
